"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\assets\images\icon_gallery.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\Projects\cinemax\assets\images\icon_globe.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_hd.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\cinemax\assets\images\icon_heart.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_home.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_lock.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Projects\cinemax\assets\images\icon_more-horizontal.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\icon_pause.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\cinemax\assets\images\icon_play.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\cinemax\assets\images\icon_play_wishlist.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Projects\cinemax\assets\images\icon_profile.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\Projects\cinemax\assets\images\icon_question.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_remove.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_reply.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 8
